Region,Name,Source,Details,Google Maps URL
,Lemminkäisen temppeli,Jason's want-to-go,,"https://www.google.com/maps/@60.2632544,25.3244295,17z"
,Pääkslahti Nature Trail,Jason's want-to-go,,"https://www.google.com/maps/@60.3750558,24.2656620,17z"
,Paalijärvi Hiking Trail,Jason's want-to-go,,"https://www.google.com/maps/@63.0512498,23.9141426,17z"
,Myllylaavu lean-to shelter,Jason's want-to-go,,"https://www.google.com/maps/@62.1311570,21.6848997,17z"
,Kellolanlähde,Jason's want-to-go,,"https://www.google.com/maps/@61.0091879,25.1980001,17z"
,Riimukiven tila,Jason's want-to-go,Ranja's farm,"https://www.google.com/maps/@61.5261113,27.9364228,17z"
,Loketon Onkalo Parkki,Jason's want-to-go,,"https://www.google.com/maps/@61.5940498,28.0608428,17z"
,Navettavuori,Jason's want-to-go,,"https://www.google.com/maps/@62.3822807,22.9690935,17z"
,Kollinluola,Jason's want-to-go,,"https://www.google.com/maps/@62.3983965,22.8916387,17z"
,Devil's Nest (Jalasjärvi),Jason's want-to-go,,"https://www.google.com/maps/@62.3990715,22.8959760,17z"
,soukkajärven grillikota,Jason's want-to-go,,"https://www.google.com/maps/@62.4547943,23.4615143,17z"
,Watermill Ruins,Jason's want-to-go,,"https://www.google.com/maps/@60.2238007,24.6625187,17z"
,Otava Church Stones,Jason's want-to-go,,"https://www.google.com/maps/@61.6130129,27.1211745,17z"
,Café Konttori,Jason's want-to-go,Ossi's cafe,"https://www.google.com/maps/@59.8204127,22.9623599,17z"
,Killinkosken Wanha tehdasmiljöö,Jason's want-to-go,,"https://www.google.com/maps/@62.4032791,23.8916572,17z"
,Kammi-kylä,Jason's want-to-go,,"https://www.google.com/maps/@62.2942374,22.4513605,17z"
,Käskyvuori,Jason's want-to-go,,"https://www.google.com/maps/@62.3133743,23.1219724,17z"
,Suspension Bridge,Jason's want-to-go,,"https://www.google.com/maps/@60.5696505,26.8269520,17z"
,Orinoro Gorge,Jason's want-to-go,,"https://www.google.com/maps/@62.5056357,28.0116431,17z"
,Juustopolku,Jason's want-to-go,,"https://www.google.com/maps/@61.1884549,26.0366677,17z"
,Karhunahas,Jason's want-to-go,,"https://www.google.com/maps/@62.4202120,25.0775479,17z"
,Karnaistenkorpi Nature Trails,Jason's want-to-go,,"https://www.google.com/maps/@60.3014275,24.0341371,17z"
,Soikonvuoren Luola,Jason's want-to-go,,"https://www.google.com/maps/@60.6349997,27.6140077,17z"
,Kahviputiikki Papulaari,Jason's want-to-go,"Hang Outdoors hammock shop in cellar, Fri 11-18 / Sat 11-16 https://www.facebook.com/groups/155895528076846/permalink/1661413930858324/","https://www.google.com/maps/@60.8670781,26.6995061,17z"
,Lauhanvuori National Park,Jason's want-to-go,Bubbling underwater ponds,"https://www.google.com/maps/@62.1521157,22.1751258,17z"
,Hitonhauta,Jason's want-to-go,,"https://www.google.com/maps/@62.4901199,25.7458659,17z"
,Suokonmäen näkötorni,Jason's want-to-go,,"https://www.google.com/maps/@62.8395555,23.9521962,17z"
,Pirunkirkko,Jason's want-to-go,,"https://www.google.com/maps/@61.2996212,26.3910421,17z"
,Kissakivi,Tiia's list,,"https://www.google.com/maps/@62.7976333,27.0512833,17z"
,Kirkkokivet,Tiia's list,,"https://www.google.com/maps/@61.7808604,27.9077505,17z"
,Pyhänpään kalliomaalaukset,Tiia's list,,"https://www.google.com/maps/@61.6417960,25.4744738,17z"
,Pyytinvuori,Tiia's list,,"https://www.google.com/maps/@60.4652592,21.6484255,17z"
,Hvitsin jatulintarha,Tiia's list,,"https://www.google.com/maps/@60.2010046,21.8791115,17z"
,Äkässaivo,Tiia's list,,"https://www.google.com/maps/@67.6978369,24.1441685,17z"
,Pihtipudas,Tiia's list,,"https://www.google.com/maps/@63.3706094,25.5754706,17z"
,Jatulintarha,Tiia's list,,"https://www.google.com/maps/@60.4531391,26.2335418,17z"
,Heinävesi,Tiia's list,"Pirunkivi, LAT 62 21.507' LON 28 27.2791'","https://www.google.com/maps/@62.4228036,28.6317663,17z"
,Pyhätunturi,Tiia's list,,"https://www.google.com/maps/@67.0138889,27.1494444,17z"
,Koli,Tiia's list,,"https://www.google.com/maps/@63.1000000,29.8000000,17z"
,Värikallio Cliffs,Tiia's list,,"https://www.google.com/maps/@65.5139247,29.3036864,17z"
,Karhukivi,Tiia's list,,"https://www.google.com/maps/@63.5794670,29.2751830,17z"
,Markkinan kirkon muistomerkki,Tiia's list,Uhrimänty LAT 68 29.261' LON 22 17.85',"https://www.google.com/maps/@68.4881246,22.2971027,17z"
,Enkelinpesä,Tiia's list,,"https://www.google.com/maps/@61.7141867,27.8043030,17z"
,Kiikunlähde,Tiia's list,,"https://www.google.com/maps/@61.0306030,25.4161248,17z"
,Pyhä-Nattanen,Tiia's list,,"https://www.google.com/maps/@68.1225801,27.3692749,17z"
,Vanhalinnan Linnavuori,Tiia's list,,"https://www.google.com/maps/@60.4867499,22.3768505,17z"
,Kuopio Riistavesi,Tiia's list,"Koivumäen honka, LAT 62 53.282' LON 28 0.224'","https://www.google.com/maps/@62.9138708,28.1613970,17z"
,Taatsin seita,Tiia's list,,"https://www.google.com/maps/@68.2228800,25.5576787,17z"
,Otavan kirkkokivet,Tiia's list,,"https://www.google.com/maps/@61.6130129,27.1211745,17z"
,Karsikkosaari (luonnon pyhä),Tiia's list,,"https://www.google.com/maps/@62.4342591,29.4071154,17z"
,Hattuvaara,Tiia's list,,"https://www.google.com/maps/@62.9320419,31.2823339,17z"
,Lönnrotin petäjä,Tiia's list,,"https://www.google.com/maps/@62.0718006,29.6622340,17z"
,Vasarainen,Tiia's list,"LAT 61 4.866' LON 21 37.375''
Kylmäkorvenkallio, Rauma","https://www.google.com/maps/@61.0880339,21.5986790,17z"
,Kurikka,Tiia's list,"Navettavuori
LAT 62'22.93' LON 22 58.132*","https://www.google.com/maps/@62.6171324,22.3987049,17z"
,Jättiläissaaren jätinkirkko,Tiia's list,,"https://www.google.com/maps/@64.9289432,26.1279761,17z"
,Uhrikivenkadun kuppikivi,Tiia's list,,"https://www.google.com/maps/@61.0005070,24.4358200,17z"
