Region,Name,Link,Details,Google Maps URL
Uusimaa,Kalkkikallion luolat,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Vantaa - Kalkkikallion Ketunluola (6 m)","https://www.google.com/maps/@60.27685,25.06693,17z"
Uusimaa,Paimenenluola,,Sipoonkorpi NP,"https://www.google.com/maps/@60.34252,25.20265,17z"
Uusimaa,Djurstenenin luola,,Sipoo,"https://www.google.com/maps/@60.3334325,25.3675536,17z"
Uusimaa,Högbergetin luola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Kirkkonummi (6.5 m)","https://www.google.com/maps/@60.10753,24.48166,17z"
Uusimaa,Bombergsgrottan,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Liljendal / Loviisa","https://www.google.com/maps/@60.60553,26.05199,16z"
Uusimaa,Hulubergsgrottan,https://luolaseura.fi/hulubergsgrottan/,"Sipoo (16 m)","https://www.google.com/maps/@60.32344,25.27727,17z"
Uusimaa,Korkbergetin lohkareluola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Kirkkonummi (~300 m)","https://www.google.com/maps/@60.16073,24.45168,16z"
Uusimaa,Nepperin luola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Kauniainen / Espoo border","https://www.google.com/maps/@60.25039,24.72971,17z"
Uusimaa,Torholan luola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Lohja (107 m)","https://www.google.com/maps/@60.25241,23.85723,16z"
Varsinais-Suomi,Luolavuoren luola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Turku (~60 m) - was 'Luolavuoren pääluola' with a typo coord","https://www.google.com/maps/@60.43019,22.27925,17z"
Varsinais-Suomi,Ryövärinluola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Kaarina","https://www.google.com/maps/@60.36792,22.30844,17z"
Varsinais-Suomi,Urtmäen Pähkinäluola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Sammatti / Lohja - was 'Urtmäki Caves' with a typo coord","https://www.google.com/maps/@60.31776,23.91001,16z"
Lappi,Korkia-Mauran jääluola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Inari (15 m) - ice cave","https://www.google.com/maps/@68.83885,27.64589,14z"
Lappi,Ukonkiven uhriluolat,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Inari (10 m) - sacrificial caves at Ukonkivi","https://www.google.com/maps/@68.93886,27.29248,14z"
Lappi,Otsavaaran luola,https://luolaseura.fi/luolaretkelle/suomen-luolat/,"Kemijärvi (31 m)","https://www.google.com/maps/@66.47918,27.65287,13z"
