Region,Name,Link,Details,Google Maps URL
,"Svartvik Beach, Kirkkonummi",,,"https://www.google.com/maps/@60.1845955,24.4585952,17z"
,Siikajärven uimaranta,,Small but serviceable,"https://www.google.com/maps/@60.2807326,24.5164847,17z"
,Myllylammen uimaranta,,,"https://www.google.com/maps/@60.3117441,24.2356618,17z"
,Tjusträsk Beach,,Small but doable,"https://www.google.com/maps/@60.1636953,24.2161092,17z"
,Karskog Beach,,Jumping tower,"https://www.google.com/maps/@60.1855446,24.2651990,17z"
,Storträsk Beach,,"""Leikkipuisto""","https://www.google.com/maps/@60.1926115,24.3396183,17z"
,Tampaja Beach,,Talo vinossa,"https://www.google.com/maps/@60.2333661,24.4302846,17z"
,Swimming Beach,,,"https://www.google.com/maps/@60.3266837,23.8295596,17z"
,Ruokjärvi Beach,,,"https://www.google.com/maps/@60.3410705,23.8009083,17z"
,Nälköönlampi Public Swimming Beach,,,"https://www.google.com/maps/@60.2991046,24.2063570,17z"
,Otalampi Beach,,,"https://www.google.com/maps/@60.3979223,24.4887592,17z"
,Hiidenranta Beach,,,"https://www.google.com/maps/@60.3469633,24.2884125,17z"
,Kattilajärvi Beach,,,"https://www.google.com/maps/@60.2984732,24.6206986,17z"
,Myllyjärven laituri,,,"https://www.google.com/maps/@60.2817581,24.6558436,17z"
