name,lat,lon,description
Iso Riutanluola,64.000611,23.809709,
Saivojärvi,67.534496,23.911254,
Ryövärinkuoppa,61.873233,24.173982,Ryövärinkuoppa ja -lähde uoma
Karhupetäjä,62.780188,25.464458,
Klockarbergenin luolat,60.189563,21.901886,
Hepoköngäs,64.819755,27.875569,
Varpaisjärventie 512,63.227392,28.035706,
Korkeakoski,63.241471,27.061288,Korkeakoski
Paasvesi,62.527874,27.357188,Virvatulet
Seidekjerringa/Ahkku,69.989460,23.265115,
Somerojanlähde,60.470656,23.091761,"Halikon Waskiolla oli ennen sellainen lähde josta peninkulmien päästä kävi veden noutajia. Tämän piti parantamaan kaikkia tauteja. Tällä hierottiin ja tätä juotiin.

SKS, Halikko 1915

Halikon Vaskion Samppaan kulmalla on kirkas lähde, jonka vesi on kirkasta kuin kristalli, josta alkaa Someroja-niminen puro. Lähde on samanniminen. Purossa on viellä tänäkin päivänä erikoislaatuisia kaloja, joita nimitetään kultakaloiksi ja kyllä ne minun mielestäni niitä ovatkin, ovat ainakin samannäköisiä. Minä olen käynyt niitä onkimassa pikkupoikana. Kalat ovat tavattoman arkoja, piti olla visusti ruohikossa tai pensastossa piilossa ja heittää onki sieltä hiljalleen veteen. Sitten alkoi kärsivällisyyttä koetteleva odotus. Pitkän odotuksen jälkeen painui koho äkkiä veden alle, hetken kuluttua oli saalis kädessä, kellahtavan vaalea, suomuton, kullan värisiä läikkiä tai oikeammin pilkkuja. Liha tuntui syödessä rasvaiselta.

Samoilla paikoilla on Lehunummi-niminen metsäinen (ulkolaisia puita paljon joukossa oleva) nummi, jossa kerrotaan olevan muinoin aateliskartanon
Jatkuu..."
Naarassaari,69.062866,27.665620,
Seitasaari,69.484736,27.916135,
Sieidisuálui,69.207093,28.267482,"Uhrikivi, tarkkapaikka?"
Kulta-akka,69.403852,28.726796,Kolle-Akkun pyhyyttä kunnioitetaan hiljaisuudella ja uhreilla. Erityisesti kovaääniset ja ikävät puheet suututtivat hänet
Kammiovuori,61.690780,25.689271,
Matkakoski,66.148203,23.931209,
Paloselkä,67.297249,24.908471,
Karhukivi,63.579467,29.275183,
Kuerlinkat,67.571607,24.038355,
Manalaissaari,67.501567,25.611822,"Kohde sijaitsee Kelontekemänjärven kaakkoisosassa Manalaisaaressa. Paulaharjun mukaan saaressa on n. 0,5 m korkea kivilatomus, jonka päällä noidat ovat laulaneet itsensä loveen (""Lovikallio""). Saaressa on myös kesähautoja(kts. Lisätiedot) ja vuosilukumänty."
