Region,Location,Link,Details,Google Maps URL
Helsinki,,,This list is now also in Google Maps! ------------------------------------------->,https://goo.gl/maps/3mNXGnEvmHyrU6S99
,Vuosaari: Ramsinniemi,,-,
,Vuosaari: Uutela,,-,
,Vuosaari: Talosaari,https://www.hel.fi/helsinki/fi/kulttuuri-ja-vapaa-aika/ulkoilu/mantereella-helsingissa-espoossa-ja-vihdissa/talosaari,These three are beside each other at the Sipoo border,
,Vuosaari: Kasakallion luonnonsuojelualue,https://walkhelsinki.fi/kasakalliolle-voi-retkeilla-lapi-vuoden/,These three are beside each other at the Sipoo border,
,Vuosaari: Mustavuoren rotko ja linnoitukset,https://retkipaikka.fi/mustavuoren-rotko-ja-linnoitukset-helsinki/,These three are beside each other at the Sipoo border,
,Viikki: Pornaistenniemen luontopolku,https://www.vanhankaupunginlahti.fi/hiking/?lang=en,-,
,Viikki: Lammassaari,,-,
,Viikki: Vanhakaupunginlahti,,-,
,Viikki: Fastholma ,,-,
,Maunulan luontopolku,http://www.helsinginlatu.fi/yhdistyksen_esittely/yhteystiedot2/mm/ml/,-,"https://www.google.com/maps/@60.22108,24.91652,15z"
,Pakila: Haltiala,https://retkipaikka.fi/aarnimetsan-kauneus-lammittaa-mustan-talven-keskella-haltialan-metsat-helsinki/?fbclid=IwAR3gpx60VlzcyfT6o5DLIjRAbCss20gocfJCAYj3qS1mERaf7623scdheBk,-,
Espoo,,,,
,Nuuksio,https://www.luontoon.fi/nuuksio/kartatjakulkuyhteydet,-,
,Vaakkoin ulkoilualue,https://www.hel.fi/helsinki/fi/kulttuuri-ja-vapaa-aika/ulkoilu/mantereella-helsingissa-espoossa-ja-vihdissa/vaakkoi,-,"https://www.google.com/maps/@60.34123,24.61510,15z"
,Keskuspuiston Tikankierros,,-,"https://www.google.com/maps/@60.1901924,24.6909400,17z"
,Espoon rantaraitti,https://ailajajuha.com/2020/07/24/espoon-rantaraitti-viikossa/,-,"https://www.google.com/maps/@60.15166,24.75245,15z"
,Hanikka,https://ailajajuha.com/2020/07/18/hanikka/,-,
Vantaa,,,,
,Petikko,https://www.vantaa.fi/vapaa-aika/luonto_ja_ulkoilu/retkeily/petikon_virkistysalue,-,
,Kalkkikallion luolat,https://retkipaikka.fi/kalkkikallion-luolat-vantaa/,-,"https://www.google.com/maps/@60.27685,25.06693,15z"
,Havukosken ulkoilualue,,-,"https://www.google.com/maps/@60.3203417,25.0789745,17z"
,Kuusijärvi,,-,
Kauniainen,,,,
,Kasaberget,https://www.siuntio.fi/retket,"N=6665693.000, E=347945.000",
Sipoo,,,,
