Category,Name,Link,Description
Emergency,112 Suomi,https://play.google.com/store/apps/details?id=fi.digia.suomi112,Gives your GPS location as well as useful numbers including maritime rescue
Info,Useful Knots,https://play.google.com/store/apps/details?id=com.neptuns.usefulknots,"Animated guide to knots, usefully categorised"
Emergency,St John Ambulance First Aid,https://play.google.com/store/apps/details?id=com.sja.firstaid,First aid reference
Emergency,Baby & Child First Aid,https://play.google.com/store/apps/details?id=com.cube.rca.bcfa,First aid reference
Location,Rewindr,https://play.google.com/store/apps/details?id=com.outstoke.rewindr,For trail tracking and related statistics
Location,Heavens-Above,https://play.google.com/store/apps/details?id=com.heavens_above.viewer,Using the camera for realtime AR star and constellation mapping
Location,GPS Status,https://play.google.com/store/apps/details?id=com.eclipsim.gpsstatus2,Useful toolkit
Location,Retkikartta,https://retkikartta.fi/,Map browser with hiking trails and sites marked; good for printing DIY maps
Location,TrailMap,https://trailmap.fi/,Maps
Location,Topo GPS,https://www.topo-gps.com/,Maps
Location,Karttaseläin,https://play.google.com/store/apps/details?id=com.accelbit.karttaselain&hl=en_US&gl=US,"For browsing Finnish topographical maps, also offline"
Location,Custom Maps,https://play.google.com/store/apps/details?id=com.custommapsapp.android&hl=en_GB,Adding GPS data to any ad-hoc map
Location,Tulipaikka,https://www.tulikartta.fi/index.php?type=Kaikki&lataus=1,Browsable map of all fire sites in Finland
Geocaching,c:geo,https://play.google.com/store/apps/details?id=cgeo.geocaching,If you want to have some fun on your travels
Geocaching,Geocaching,https://play.google.com/store/apps/details?id=com.groundspeak.geocaching.intro,Official app
Photography,Camera-FV5 ,https://play.google.com/store/apps/details?id=com.flavionet.android.camera.lite,Good app with many options and settings
Photography,Airdata UAV,https://play.google.com/store/apps/details?id=com.airdata.uav.app,For weather prediction
Photography,UAV Forecast,https://play.google.com/store/apps/details?id=com.uavforecast,For weather prediction
Photography,AirMap,https://play.google.com/store/apps/details?id=com.airmap.airmap,For airspace regulation data
Photography,AviaMaps,https://aviamaps.com/map?drone#p=5.11/65.35/26.1,For airspace regulation data
