Name,Details,Google Maps URL
Lintulan Pyhän Kolminaisuuden luostari,,"https://www.google.com/maps/@62.5709630,28.5916187,17z"
Lepaan wine and garden area,,"https://www.google.com/maps/@61.1140160,24.3431070,17z"
Temola winery,,"https://www.google.com/maps/@61.4546612,28.1526567,17z"
Pirula Oy,,"https://www.google.com/maps/@62.9378251,22.4883721,17z"
Ciderberg Oy,,"https://www.google.com/maps/@60.2353267,23.8948439,17z"
Tyry wine,,"https://www.google.com/maps/@61.3261181,26.7547402,17z"
Teiskon wine,,"https://www.google.com/maps/@61.6257296,23.8818594,17z"
Viiniverla Oy,,"https://www.google.com/maps/@61.0620512,26.6390841,17z"
Mattilan Marjatila,,"https://www.google.com/maps/@61.2306610,22.6597400,17z"
Alahovin Viinitila,,"https://www.google.com/maps/@62.9026419,27.7947414,17z"
Ollinmäen Viinitila Oy,,"https://www.google.com/maps/@61.5983974,27.5293102,17z"
MUSTILA WINE,,"https://www.google.com/maps/@60.7310819,26.4290843,17z"
Hermann Winery Ltd,,"https://www.google.com/maps/@62.6656461,30.9268352,17z"
Uusi-Yijälän tila,,"https://www.google.com/maps/@61.8934514,25.3088117,17z"
Pihamaan Viinitila,,"https://www.google.com/maps/@61.2965858,25.6812980,17z"
Rönnvikin viinitila,,"https://www.google.com/maps/@61.2492515,24.3508519,17z"
Tammiluodon Viinitila Oy,,"https://www.google.com/maps/@60.2796123,22.3581142,17z"
Heila Lähiruokatori,,"https://www.google.com/maps/@61.2326271,26.0458628,17z"
Kuura Cider Oy,,"https://www.google.com/maps/@60.1272588,23.5409647,17z"
Punaisen Tuvan Viinitila,,"https://www.google.com/maps/@62.9807572,23.7573551,17z"
Ranua-Revontuli Oy Wine & Berries,,"https://www.google.com/maps/@65.9439540,26.4667833,17z"
Valamo Monastery,,"https://www.google.com/maps/@62.5629556,28.7905196,17z"
