name,current_lat,current_lon,current_region,enriched_lat,enriched_lon,notes
"Anteri",68.16447,28.28704,Lappi,,,
"Tahvo",68.16549,28.28593,Lappi,,,
"Härkävaara",68.16298,28.28717,Lappi,,,
"Karhuoja",68.16566,28.28795,Lappi,,,
"Luirojärvi",68.16421,28.28556,Lappi,,,
"Vieriharju",68.16367,28.28830,Lappi,,,
"Vaskojoki",68.59813,25.66768,Lappi,,,
"Härkäkoski",68.59915,25.66657,Lappi,,,
"Morgamo",68.59664,25.66781,Lappi,,,
"Herajärven kierros",63.11799,29.78407,Pohjois-Karjala,,,
"Onnin maja",61.19172,25.10892,Paijat-Hame,,,
"Matildanjärven luontokeskus",60.25592,22.98097,Varsinais-Suomi,,,
"Rantapiha",60.72171,22.38205,Varsinais-Suomi,,,
"Tahvontupa",68.13506,28.57044,Lappi,,,
"Pitkäjärvi",62.44133,30.05309,Pohjois-Karjala,,,
"Otroskoski",62.44235,30.05198,Pohjois-Karjala,,,
"Ahmantupa",65.75555,27.90907,Kainuu,,,
"Oulangan leirintäalue",67.03996,23.72731,Pohjois-Pohjanmaa,,,
"Basecamp",67.04098,23.72620,Pohjois-Pohjanmaa,,,
"Kerojärven kämppä",66.44818,29.39080,Kainuu,,,
"Hirvaan kierros",63.26645,24.73765,Keski-Suomi,,,
"Iso-Valvati",63.26746,24.73654,Keski-Suomi,,,
"Peuran polku",63.26496,24.73778,Keski-Suomi,,,
"Helvetinportin lähellä",62.02636,23.85332,Pirkanmaa,,,
"Selkäsarvi",65.63918,24.30009,Pohjois-Pohjanmaa,,,
"Kuusijärvi",60.31510,25.20193,Uusimaa,,,
"Soini/Ähtäri akselilla",62.67202,24.40150,Pirkanmaa,,,
"Kiilopään savusauna",68.18782,23.86734,Lappi,,,
"Anterinmukka",68.18884,23.86623,Lappi,,,
"Karhuojan autiotupa",67.78691,29.20742,Lappi,,,
"Selkä-Sarven vartiotupa",65.63918,24.30009,Pohjois-Pohjanmaa,,,
"Suomun rantasauna",63.10982,30.69333,Pohjois-Karjala,,,
"Yrjölän varaustupa",67.10372,26.99931,Lappi,,,
"Huttujärven varaustupa",67.10474,26.99821,Lappi,,,
"Matkoslammen laavu",61.18737,26.89157,Kymenlaakso,,,
"Vieriharjun autiotupa",68.07454,29.32677,Lappi,,,
"Byxholmen",59.83774,23.48038,Varsinais-Suomi,,,
"Gåsgrund",60.20497,24.65598,Uusimaa,,,
"Hannukuru",67.95446,24.09580,Lappi,,,
"Hauto-Koistin saaren sauna",62.76992,27.75490,Pohjois-Savo,,,
"Lehtosaari savusauna",64.12618,29.51951,Kainuu,,,
"Kallioselkä",65.05933,25.46736,Pohjois-Pohjanmaa,,,
"Koivujoen Pitkäkoski",65.05933,25.46736,Pohjois-Pohjanmaa,,,
"Korsatupa",68.37885,24.70576,Lappi,,,
"Otroskoskien kämppä",63.67482,29.92511,Pohjois-Karjala,,,
"Tallholmen",60.37671,25.26860,Uusimaa,,,
"Tammitupa",63.71679,28.70203,Kainuu,,,
"Vahvanen",62.54998,24.07023,Pirkanmaa,,,
"Hirvaan kierros",63.26645,24.73765,Keski-Suomi,,,
"Sysilampi ja Sääksjärvi, varaustuvat",63.26746,24.73654,Keski-Suomi,,,
